Name,Question ID,Difficulty,Question Tags,Company Tags,Question URL,Total Submissions,Total Accepted
Longest Nice Substring,1763,Easy,"Bit Manipulation, Divide and Conquer, Hash Table, Sliding Window, String",Microsoft,https://leetcode.com/problems/longest-nice-substring,101498,62125
Form Array by Concatenating Subarrays of Another Array,1764,Medium,"Array, Greedy, String Matching, Two Pointers",Amazon,https://leetcode.com/problems/form-array-by-concatenating-subarrays-of-another-array,30911,16668
Map of Highest Peak,1765,Medium,"Array, Breadth-First Search, Matrix","Google, Microsoft",https://leetcode.com/problems/map-of-highest-peak,46806,29542
Tree of Coprimes,1766,Hard,"Array, Depth-First Search, Math, Number Theory, Tree",Google,https://leetcode.com/problems/tree-of-coprimes,25619,10603
Merge Strings Alternately,1768,Easy,"String, Two Pointers",Uber,https://leetcode.com/problems/merge-strings-alternately,1435631,1163118
Minimum Number of Operations to Move All Balls to Each Box,1769,Medium,"Array, Prefix Sum, String",Amazon,https://leetcode.com/problems/minimum-number-of-operations-to-move-all-balls-to-each-box,155999,134143
Maximum Score from Performing Multiplication Operations,1770,Hard,"Array, Dynamic Programming","Apple, Google",https://leetcode.com/problems/maximum-score-from-performing-multiplication-operations,285863,117577
Maximize Palindrome Length From Subsequences,1771,Hard,"Dynamic Programming, String",Goldman Sachs,https://leetcode.com/problems/maximize-palindrome-length-from-subsequences,32555,12007
Sort Features by Popularity,1772,Medium,"Array, Hash Table, Sorting, String",Amazon,https://leetcode.com/problems/sort-features-by-popularity,9696,6389
Count Items Matching a Rule,1773,Easy,"Array, String","Adobe, Facebook",https://leetcode.com/problems/count-items-matching-a-rule,285296,241534
Closest Dessert Cost,1774,Medium,"Array, Backtracking, Dynamic Programming","Bytedance, Microsoft, Tiktok",https://leetcode.com/problems/closest-dessert-cost,67521,32287
Equal Sum Arrays With Minimum Number of Operations,1775,Medium,"Array, Counting, Greedy, Hash Table","HRT, Microsoft",https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations,57487,30920
Car Fleet II,1776,Hard,"Array, Heap (Priority Queue), Math, Monotonic Stack, Stack",Google,https://leetcode.com/problems/car-fleet-ii,49122,27371
Shortest Path in a Hidden Grid,1778,Medium,"Breadth-First Search, Depth-First Search, Graph, Interactive",Facebook,https://leetcode.com/problems/shortest-path-in-a-hidden-grid,23571,9696
Find Nearest Point That Has the Same X or Y Coordinate,1779,Easy,Array,DoorDash,https://leetcode.com/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate,173564,119673
Check if Number is a Sum of Powers of Three,1780,Medium,Math,Microsoft,https://leetcode.com/problems/check-if-number-is-a-sum-of-powers-of-three,66523,45412
Sum of Beauty of All Substrings,1781,Medium,"Counting, Hash Table, String",Google,https://leetcode.com/problems/sum-of-beauty-of-all-substrings,110555,75514
Count Pairs Of Nodes,1782,Hard,"Array, Binary Search, Graph, Sorting, Two Pointers",Amazon,https://leetcode.com/problems/count-pairs-of-nodes,18130,7356
Check if Binary String Has at Most One Segment of Ones,1784,Easy,String,Cisco,https://leetcode.com/problems/check-if-binary-string-has-at-most-one-segment-of-ones,121504,47690
Minimum Elements to Add to Form a Given Sum,1785,Medium,"Array, Greedy",Twitter,https://leetcode.com/problems/minimum-elements-to-add-to-form-a-given-sum,52462,23033
